TRANSACTION_ID,DECISION
TXN_TEST_004,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN_TEST_006,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN_TEST_002,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN_TEST_005,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN_TEST_009,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN_TEST_008,"{
  ""confidence"": 85,
  ""decision"": ""DISMISS"",
  ""justification"": ""Travel activity consistent with customer behavior; anomaly suppressed"",
  ""pattern_matched"": ""P-005"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN_TEST_003,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511600,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511300,"{
  ""confidence"": 85,
  ""decision"": ""DISMISS"",
  ""justification"": ""Travel activity consistent with customer behavior; anomaly suppressed"",
  ""pattern_matched"": ""P-005"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511100,"{
  ""confidence"": 90,
  ""decision"": ""AUTO_BLOCK"",
  ""justification"": ""Burst of low-value transactions indicates card testing behavior"",
  ""pattern_matched"": ""P-001"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511102,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511200,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511400,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511103,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511104,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511500,"{
  ""confidence"": 80,
  ""decision"": ""ESCALATE"",
  ""justification"": ""First-time crypto transaction with round amount suggests scam victim scenario"",
  ""pattern_matched"": ""P-004"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511301,"{
  ""confidence"": 85,
  ""decision"": ""DISMISS"",
  ""justification"": ""Travel activity consistent with customer behavior; anomaly suppressed"",
  ""pattern_matched"": ""P-005"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN20260511101,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN_TEST_001,"{
  ""confidence"": 90,
  ""decision"": ""AUTO_BLOCK"",
  ""justification"": ""Burst of low-value transactions indicates card testing behavior"",
  ""pattern_matched"": ""P-001"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN_TEST_010,"{
  ""confidence"": 60,
  ""decision"": ""ESCALATE"",
  ""justification"": ""Transaction does not strongly match known fraud patterns"",
  ""pattern_matched"": ""NONE"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
TXN_TEST_007,"{
  ""confidence"": 80,
  ""decision"": ""ESCALATE"",
  ""justification"": ""First-time crypto transaction with round amount suggests scam victim scenario"",
  ""pattern_matched"": ""P-004"",
  ""tools_used"": [
    ""transaction_history_analyst"",
    ""fraud_pattern_search""
  ]
}"
